essay_id,score,raw_pred
000fe60,3,2.8107817
0033bf4,3,3.0685756
00613e3,3,3.224145
0065bd6,3,3.1341066
006c931,3,3.092402
007db64,2,1.5306244
00a541a,2,2.5543158
00c3589,4,3.5882149
00d4911,4,3.4129922
00dd003,2,3.1103537
00e3edb,1,1.8286813
00ef89f,1,1.9713573
0163804,4,3.9865363
019b862,2,1.9013255
019e2c4,3,3.684708
01a39ed,4,3.9014902
01bb07c,4,3.214386
01ec06b,3,3.0306547
022d72e,3,3.1511853
0237cbd,2,2.649891
023ab53,4,3.544532
0262618,2,1.6353258
0279487,1,2.1549625
027a1f9,2,2.1168823
02a1298,2,2.750785
02c0440,3,2.76515
02cd88d,1,1.2548369
02d1c60,2,2.5135083
02d481d,6,4.4630566
02d8dd2,4,4.095035
02dabc0,2,2.7090962
02ecf18,2,1.4627814
0307ec7,2,2.7557611
03194a0,4,3.5005155
032153a,3,3.2884984
032a3bf,2,4.08771
032db9e,4,4.118973
0338170,1,1.9526076
033a27e,2,1.803447
033aa4b,2,1.8556492
03448b6,3,2.7383065
0345980,4,3.8533041
035a4d2,1,1.0685654
036e19b,2,3.3757694
036f820,3,3.2570972
0376bcb,3,2.8326108
037ac1f,3,3.061126
039e817,2,2.2048445
03f8d0e,3,2.9962356
040ba87,4,3.625105
040bb8a,4,4.023864
041804e,4,3.941011
0429d4a,2,2.664505
0435f85,3,2.734266
04575a9,4,3.9661062
0459116,5,4.287097
045fec2,3,3.652768
0467e2a,4,3.9501352
047bb6e,1,1.8194791
047f2c6,3,3.2900767
0493c5f,1,1.3417695
0499982,3,3.2347233
04a4c98,3,2.9328995
04a99cb,3,3.589868
04af97d,4,3.917336
04d2b73,4,3.71577
04db8d6,3,2.2959342
04defeb,2,2.3042939
04ef8ff,3,3.3679464
04f8928,2,2.2235303
0509d92,4,2.8237662
05182bf,4,3.510036
054e4c8,3,2.7144206
0571af0,4,3.8973615
0595f5d,1,1.0733694
05b0858,4,3.6365805
05b37db,2,1.9646215
05c4acd,2,2.2464476
05cafcf,4,3.5077102
05e6736,3,2.82237
05efbec,4,3.820384
