essay_id,score,raw_pred
002ba53,3,3.1789987
0030e86,4,3.8109813
0036253,2,2.8715975
004229b,2,2.1055956
006d0e1,4,4.0652504
0079938,3,2.7152028
0087059,1,1.8570126
0098ef4,4,4.223896
00a6e71,2,3.1869438
00bee4c,3,3.288651
00cb5dc,2,2.0276246
00da297,3,2.791322
00daaa2,3,3.3724334
0123792,4,4.234022
012c9be,2,1.9266962
0155be4,3,3.1010213
015ac93,3,2.5884442
01711c3,3,3.6441004
018ff85,4,4.068749
019e8c3,3,3.479196
01b9b63,2,2.2538497
01bd69c,3,2.3492103
01c1169,3,2.9807348
01c8f7a,2,2.1119883
01d0836,2,3.0157914
01d2df1,4,4.0659914
01d6e7e,3,2.4543111
0200fbc,3,3.234436
0226250,4,3.353831
0226c11,3,3.0702477
0227e67,4,4.168666
022b620,2,1.7567449
0232d34,2,2.3155913
024a3bb,2,2.3328166
026355a,4,3.7965903
0269b85,3,1.4880748
0273b7b,3,3.2432775
0293f31,3,4.096841
02a059f,4,3.6829646
02ab5d2,5,4.147281
02c1ebd,3,3.3153584
02cbcbc,4,3.8874202
02cfa15,2,2.270831
02d0224,2,2.3798118
0305a15,1,1.4960612
0318358,3,3.193244
031bbb0,3,3.0325956
031e4d6,3,2.893976
03205e9,4,3.5213897
03314fd,3,3.5173569
0347bb4,3,2.6264915
03630c7,3,3.4624457
03705ca,4,4.204372
038fd62,3,2.3175495
03ae0c4,3,4.4012227
03afc1e,2,2.2201324
03d074f,4,3.832259
03e687e,3,3.980445
03e804e,1,2.407396
03ec474,3,3.1125746
03f2d76,3,3.3088937
042167f,2,3.3820446
042dc86,3,3.2119179
043e1a0,3,3.1163113
045c7fb,4,3.774583
0461df3,2,1.6260692
046e84a,3,3.4131088
046efe7,3,3.0340614
048b9b6,4,4.3273025
04b6e9b,2,2.4338303
04bc9b6,4,3.990341
04d13e6,3,3.8439078
04d409d,4,4.365473
04da4bf,3,3.0240104
04e00f8,2,1.9278245
04ea96d,3,3.6666636
04ec9a4,3,3.791643
04f1fc3,1,1.4043463
051c46a,3,3.0287135
053f99e,1,1.7540475
0540b80,4,3.7254395
054b8f9,3,2.794154
056394c,4,3.9305408
058ecd3,3,3.5715792
059af98,3,3.5733771
