essay_id,score,raw_pred
001ab80,4,4.2041564
001bdc0,4,3.7021966
0033037,2,2.0816317
0066c7c,2,2.3114898
0072128,4,3.935074
0079f2a,2,1.1711115
0081f18,3,2.365208
008341a,3,2.8330078
0084f6c,4,3.7189636
00a3575,2,1.8488321
00a4469,4,3.0149498
00a6693,4,4.0077314
00aa6de,2,2.1288772
00b2fe2,4,3.9357204
00b3311,4,2.910349
00ccc2d,4,4.385412
00d576b,1,2.6086936
00e5687,3,2.946242
00eabc5,4,4.350176
00f6ac7,3,3.2719676
00fca9b,3,2.0938022
00feec3,2,1.2607841
0105e2e,2,1.9721519
01290ec,3,3.9443913
012f8f0,3,3.001214
013ac83,4,3.8881912
014eba6,1,1.1976063
016ed64,4,3.2649655
0187e96,4,3.9988427
018985d,3,3.598556
01ad79e,2,1.9972004
01c46fa,3,3.1685762
01c5073,3,3.661355
01c5750,3,3.6494365
01c5e87,5,4.077132
01e0bb8,4,4.228084
01e78c7,2,2.0060763
01ec1a3,4,3.7350726
01f5682,5,4.0825043
0232fa2,1,3.2367747
024873e,3,3.929326
025d46f,2,2.6137323
0264158,3,2.9306707
028d00e,3,2.4422135
02a1c3a,4,4.085613
02a7530,3,3.2987647
02a7cff,2,3.764882
02a9d14,3,2.813361
02b6da9,1,1.5861559
02f131c,3,2.7086933
02f14c6,4,2.3269467
030b9ea,2,2.6974583
0329d02,2,1.9384663
034dbcf,2,1.7424718
035e589,4,4.0754647
035fd2d,3,2.928713
0364075,2,2.1475134
03c7046,2,3.5955153
03da458,4,3.8109102
03dc26a,2,2.6917882
03f958f,3,3.7021704
03fb253,2,3.2153516
03ff4c1,3,3.5529125
043d7ad,3,3.3265562
044b201,4,3.9135935
045fabf,2,2.221735
04b4ad6,3,2.686168
04c4f26,3,3.0471642
04cecb6,3,3.8469439
04d3f9c,4,3.7185879
04e1cec,3,3.773212
04e6cd8,2,2.3023465
04f47a5,4,3.7272606
04fcfb0,4,3.8115363
0514ba2,3,3.5003557
0519419,4,3.6556711
0539a44,2,2.6078508
0544d67,2,2.5801885
0545b94,3,3.6571522
0548f53,2,1.9524553
05508b4,2,2.06004
05580e1,3,2.794588
05592d5,5,4.555357
056a4a4,4,4.0084667
056f9ed,3,3.3863726
05adbff,3,1.9951093
05b31a1,3,3.0473275
05c8b2d,3,1.9271238
05c94e5,3,3.8666081
05d73d1,2,2.8122272
05fa43a,3,2.875269
05ff7b3,3,3.7224164
06047ac,2,1.6399873
060694e,3,2.8968844
060a4e7,1,2.882867
0613e60,3,3.0444815
062455d,3,2.4569829
0635458,3,3.4544868
0642363,2,2.1990929
0644f5b,4,3.3875086
065c240,4,4.0814714
06633fa,3,3.9702644
0667fd7,3,3.8628514
0670d67,5,4.5926123
06743f8,3,3.4125834
0674a38,4,3.3041558
067d842,2,2.1460707
0689c67,5,4.560235
068aea7,3,2.8175325
069cd67,4,4.1546984
06a0e57,3,3.3917384
06a9e1d,2,2.2490344
06a9e59,3,3.8443813
06aa059,2,2.0329094
06be122,2,1.8749068
06c3439,2,2.1008477
06c92ec,3,2.171895
06cf397,4,4.1582913
06d32ab,4,3.9031126
06e2db4,6,5.159989
0719241,3,3.2336087
0760ba5,3,3.1366434
0760f30,4,3.5817227
076539f,1,1.0414672
077377d,3,2.367888
078c66d,4,3.7517667
07b76d3,4,3.8360364
07c589a,2,2.0884087
07d2045,1,1.8670508
07e11fc,3,3.7355826
07e4b76,3,3.5350933
07f4106,4,3.9294717
