essay_id,score,raw_pred
000d118,3,2.3430657
0040e27,3,3.1295836
0047cb3,2,2.139999
005a72e,4,4.1430244
00d027f,3,3.0725486
00e047b,4,3.8490725
00f3984,2,2.2616816
00f6383,3,3.6250007
00fd564,3,3.3578057
01247bc,2,2.551383
01267d1,1,2.7807364
014f1b3,2,1.2945534
0151c0f,4,4.0477767
0156ea6,1,1.2138118
016010c,5,4.1680317
01665d5,3,2.9759877
01846d8,2,1.9201257
018fbeb,2,2.7181365
01a0d33,3,3.3351958
01a53e1,4,3.040432
01ae85f,3,3.3901632
01b55c8,4,4.3311357
01bb061,1,2.7503994
01bb2f3,2,2.9456336
01c3e09,1,1.3934559
01cbe3d,4,3.5709038
01dabde,5,4.515491
01e64c4,2,2.0202847
0210900,2,2.0125782
0211cb6,1,3.1801147
021271e,3,2.749582
0220c9f,3,3.0251195
0224c63,2,2.3991098
022a010,5,4.0801444
023c138,4,3.8190613
0281195,2,2.028584
0286af8,2,2.7503824
0296469,3,4.012803
02da02a,3,3.7735748
02f6c8a,5,4.045468
0302537,3,2.6924982
030cf8b,3,4.1133866
031ab01,4,4.068613
03237a6,3,3.552051
0331f55,4,4.15926
035e3c7,3,3.7222693
0374dae,3,2.4625254
037545d,4,3.9239213
039b748,4,3.7351432
039fed8,2,2.9591913
03c0382,4,3.4825401
03c75d3,4,4.178939
03ca725,3,2.7172966
03ce0a7,4,3.7225053
03d8fe8,4,3.9908643
03ee9ea,2,2.3761525
03ffbb2,2,2.68252
04030c7,3,3.7865815
04128c7,3,3.0854158
0425a6e,3,3.0311646
042b0cd,4,3.7355838
043d5a8,2,3.1505117
044a23f,3,3.4344716
046d467,1,1.147099
047a377,3,2.4805992
04a4399,4,4.0029907
04af4e1,1,2.9403043
04b354e,5,4.4791145
04d0713,2,1.7044965
04dbd25,4,4.1830463
04df837,4,3.4948258
04e1177,2,1.8737518
0502b23,3,2.9086037
051429c,3,1.735006
0516f28,1,1.3313179
053fa01,3,2.36304
0550fb1,3,2.9315765
05806ed,3,3.3347292
0581013,2,2.1563287
05aacdb,4,4.1064615
05b01a4,3,3.3512459
05bcd1b,2,1.6859293
05c2752,2,2.0753508
05dcee6,2,2.088872
05e1eae,2,1.4701781
05f81ce,4,4.106214
0607ed1,3,3.7540314
0630503,3,2.7449636
06333c3,3,2.2094889
0640912,4,3.877316
0649f8e,2,1.8622391
0657f4c,2,1.5876944
0679f5a,4,3.3671243
067a23d,2,1.5858414
0681136,3,2.894298
06a9fdf,3,2.779893
06aa705,2,1.8968132
06e25aa,2,3.1351714
06ef6d4,3,2.4435563
070faae,3,3.8255749
0711276,2,1.3462696
071bcae,1,1.8013713
